City,Latitude,Temperature,Humidity,Cloudiness,Wind Speed
puerto ayora,-18.01,68.0,77,0,3.44
saint-pierre,19.73,73.4,78,1,5.75
puerto ayora,41.28,35.6,64,90,6.91
cortez,34.64,51.01,93,1,6.13
siguiri,12.06,77.0,83,20,9.22
taoudenni,42.08,26.6,100,90,4.61
bereda,-38.0,60.01,71,0,6.91
wahiawa,47.97,32.0,93,90,3.44
taltal,38.52,60.64,75,3,4.36
iberia,-21.21,80.6,78,75,10.36
rikitea,-7.3,72.16,90,100,1.83
kodiak,20.5,56.48,36,63,11.21
saint-philippe,38.52,60.64,75,3,4.36
jamestown,-33.93,75.0,73,0,8.05
avarua,59.53,-6.0,79,100,1.99
grindavik,58.04,-11.81,89,99,10.33
cidreira,44.87,28.4,86,0,4.61
avarua,-7.84,70.97,75,55,4.07
east london,45.66,30.2,69,90,3.44
nizwa,66.04,19.4,73,0,6.91
rikitea,-24.79,65.34,98,100,6.85
zalaszentgrot,19.02,52.79,84,81,1.86
atuona,65.28,-7.6,77,90,3.44
dwarka,-23.12,78.17,76,0,17.07
hamilton,-24.79,65.34,98,100,6.85
yellowknife,39.05,59.79,77,0,6.38
tacna,-23.12,78.17,76,0,17.07
taolanaro,-38.55,58.46,41,0,9.51
karauzyak,58.3,37.4,81,90,5.75
hilo,71.29,-0.4,78,1,26.46
nantucket,47.67,30.0,93,90,8.05
lompoc,-21.36,84.2,79,40,9.22
saint-georges,9.33,77.97,81,100,5.68
olean,-22.97,75.6,86,39,23.51
mar del plata,60.14,30.7,95,100,19.1
halmeu,39.05,59.79,77,0,6.38
ribeira grande,-33.02,71.6,100,90,3.44
avarua,71.0,17.6,73,0,35.68
manono,15.74,73.0,78,0,4.0
adrar,57.79,-19.97,88,33,4.45
ribeira grande,39.89,44.6,81,0,8.05
cape town,-21.36,84.2,79,40,9.22
senno,-3.77,75.2,100,75,1.66
rybinsk,21.44,77.0,69,1,3.44
pula,65.61,30.2,93,90,42.57
chicama,-0.74,75.0,93,58,1.01
millinocket,68.05,2.57,92,14,14.97
husavik,-22.97,75.6,86,39,23.51
castro,2.04,79.12,71,24,20.49
chocaman,-19.61,78.8,94,75,1.86
norman wells,56.91,-20.2,76,90,2.24
rikitea,22.68,60.71,29,83,15.46
castro,65.61,30.2,93,90,42.57
barentsburg,-16.48,81.59,76,100,19.71
lagoa,63.86,-18.06,87,68,0.43
rikitea,8.38,81.0,99,97,10.16
necochea,60.14,30.7,95,100,19.1
juneau,-23.12,78.17,76,0,17.07
barrow,64.5,12.2,79,40,8.05
torbay,-20.41,80.6,83,75,11.5
saint-philippe,-51.62,41.0,75,0,3.44
bocas del toro,32.67,55.4,58,40,6.91
arraial do cabo,-21.21,80.6,78,75,10.36
nanortalik,-22.4,83.43,54,8,1.48
lagoa,-19.98,82.99,76,33,10.0
east london,-46.19,75.72,49,29,3.53
havoysund,-24.79,65.34,98,100,6.85
pochutla,-24.79,65.34,98,100,6.85
kadyy,-23.12,78.17,76,0,17.07
mahon,-33.93,75.0,73,0,8.05
saint-philippe,-21.2,82.4,83,75,6.91
puerto narino,-21.36,84.2,79,40,9.22
ahuimanu,43.75,32.0,86,100,13.8
tasiilaq,-9.8,77.76,78,73,15.5
puerto ayora,39.47,42.8,42,75,9.22
ostrovnoy,-20.41,80.6,83,75,11.5
arraial do cabo,-21.2,82.4,83,75,6.91
mogadishu,-21.2,82.4,83,75,6.91
dondo,-41.87,50.0,87,0,6.91
pervouralsk,32.98,46.0,100,75,5.75
taoudenni,11.28,75.52,46,6,10.87
tasiilaq,45.32,26.92,90,83,15.79
faanui,43.36,24.8,93,90,4.47
vuktyl,-21.98,65.84,88,99,1.88
loma bonita,22.08,73.4,83,1,5.75
nanortalik,18.65,74.7,78,74,4.5
rikitea,-0.74,75.0,93,58,1.01
nome,7.77,61.41,69,38,1.74
mahebourg,-21.21,80.6,78,75,10.36
rio gallegos,42.1,27.0,100,90,9.19
ponta do sol,22.08,73.4,83,1,5.75
avarua,18.04,74.59,49,35,4.99
ihosy,54.32,41.0,87,1,6.91
cap malheureux,6.54,66.6,27,2,3.6
pullampadi,11.0,78.4,80,100,12.19
mataura,52.74,36.0,88,6,10.2
castro,71.29,-0.4,78,1,26.46
castro,39.45,28.4,50,0,2.24
rikitea,30.8,48.0,89,91,3.22
cape town,-33.02,71.6,100,90,3.44
vaini,38.52,60.64,75,3,4.36
saint-philippe,-23.12,78.17,76,0,17.07
goderich,37.1,35.6,30,1,8.05
atuona,-21.2,82.4,83,75,6.91
fallon,65.61,30.2,93,90,42.57
mahebourg,34.94,35.6,93,40,3.02
vaini,-16.19,60.62,82,98,2.89
vaini,-19.93,71.56,96,100,7.02
ancud,8.13,80.6,89,75,4.61
goose creek,39.77,39.0,65,1,9.22
bosaso,-0.6,82.11,79,87,19.64
beyneu,59.14,-19.61,88,92,3.6
boralday,-23.12,78.17,76,0,17.07
caxambu,46.42,41.0,100,90,3.44
kapaa,60.93,-0.4,78,90,6.71
cazaje,-29.86,81.0,83,0,1.14
attawapiskat,42.1,27.0,100,90,9.19
warqla,-43.3,57.72,59,4,10.07
jeremie,24.27,68.92,22,0,6.6
puerto ayora,-17.71,73.4,91,8,3.87
san cristobal,-53.15,44.6,70,90,6.91
avarua,-23.12,78.17,76,0,17.07
jamestown,1.61,74.25,76,1,2.98
kapaa,-21.2,82.4,83,75,6.91
pedernales,18.22,78.01,83,20,12.66
prince rupert,49.27,27.34,95,92,7.56
samusu,38.23,53.01,93,75,1.21
bria,48.65,28.99,86,100,5.75
dingle,61.84,30.2,59,20,5.75
landsberg,-24.79,65.34,98,100,6.85
barrow,37.46,54.0,82,1,0.85
kashi,-23.12,78.17,76,0,17.07
kingsland,-17.73,80.6,69,40,3.44
east london,66.15,-5.4,82,48,4.25
ribeira grande,63.75,-4.0,77,90,17.27
rikitea,5.41,86.0,58,20,6.91
saint george,39.08,42.8,56,20,6.91
vaini,55.1,15.8,86,84,3.44
tasiilaq,43.17,50.0,75,0,8.01
taolanaro,-33.02,71.6,100,90,3.44
bowmore,20.87,71.69,90,89,10.94
coroico,47.67,30.0,93,90,8.05
mayor pablo lagerenza,37.36,36.0,80,1,4.18
rolim de moura,5.41,86.0,58,20,6.91
manavalakurichi,39.76,48.2,23,1,18.41
saint joseph,-46.19,75.72,49,29,3.53
hithadhoo,46.42,41.0,100,90,3.44
uvat,-17.82,68.0,100,0,3.44
rikitea,44.83,39.99,75,1,5.75
saint-francois,48.65,28.99,86,100,5.75
nizhnevartovsk,18.74,61.29,28,20,2.46
durban,34.8,30.2,74,0,2.3
jamestown,46.82,28.4,80,48,13.8
rawson,-23.86,80.6,89,40,2.3
pawai,60.82,26.6,74,100,5.75
skalistyy,66.15,-5.4,82,48,4.25
caravelas,-33.7,58.59,70,0,4.83
punta arenas,42.1,27.0,100,90,9.19
rikitea,42.1,27.0,100,90,9.19
ouesso,20.93,60.8,55,0,26.46
vaini,38.52,60.64,75,3,4.36
belushya guba,-9.8,77.76,78,73,15.5
the valley,32.67,55.4,58,40,6.91
melita,7.77,61.41,69,38,1.74
petaluma,32.78,48.0,93,90,5.75
bonavista,62.46,8.6,85,75,8.05
illoqqortoormiut,-34.53,68.0,88,96,11.5
olden,13.07,78.8,73,20,16.11
castro,-23.04,69.42,75,38,7.05
half moon bay,34.02,39.99,93,1,3.87
rikitea,-14.66,65.48,91,88,6.82
tautira,29.8,47.68,43,0,6.87
pangnirtung,57.98,-13.0,77,40,8.95
iqaluit,62.46,8.6,85,75,8.05
georgetown,69.45,-5.8,84,90,12.66
kitob,-0.6,82.11,79,87,19.64
la ronge,26.33,41.0,100,0,2.66
la ciotat,-4.97,72.45,93,71,2.68
east london,5.41,86.0,58,20,6.91
celestun,70.47,-14.8,84,90,6.91
tsihombe,19.11,46.4,81,40,4.61
torbay,-33.7,58.59,70,0,4.83
forest,44.16,29.68,95,98,5.1
georgetown,-30.18,71.67,78,93,10.27
vaitupu,14.9,70.52,75,35,13.78
golden,38.89,32.0,100,1,4.94
mataura,-20.52,80.6,83,75,11.5
saint-francois,19.73,73.4,78,1,5.75
kasane,-4.58,72.07,78,76,12.19
sheridan,-21.2,82.4,83,75,6.91
bonavista,-20.34,82.99,83,75,11.5
arlit,47.67,30.0,93,90,8.05
hamadan,-33.93,75.0,73,0,8.05
alberton,-2.76,77.34,88,100,10.27
inhambane,-22.12,69.01,87,100,4.36
hay river,60.14,30.7,95,100,19.1
pangnirtung,34.1,60.01,62,1,2.15
chuy,60.55,28.99,86,90,13.8
jamestown,22.08,73.4,83,1,5.75
jamestown,-46.19,75.72,49,29,3.53
nouadhibou,-0.74,75.0,93,58,1.01
ribeira grande,31.46,36.0,80,1,8.05
atuona,-38.0,60.01,71,0,6.91
ponta do sol,-0.74,75.0,93,58,1.01
san cristobal,-33.92,68.0,100,90,6.91
charleston,71.29,-0.4,78,1,26.46
yellowknife,50.08,27.0,80,90,8.95
bredasdorp,49.14,-3.05,89,0,6.08
oistins,-24.79,65.34,98,100,6.85
louis trichardt,-9.66,66.36,78,100,2.62
forest acres,-24.79,65.34,98,100,6.85
menongue,22.08,73.4,83,1,5.75
moctezuma,34.64,51.01,93,1,6.13
kondratovo,-38.95,69.39,20,0,10.65
yellowknife,-21.64,75.99,86,71,15.52
tuktoyaktuk,17.42,73.6,78,94,5.26
hithadhoo,51.97,37.99,100,90,6.91
buraydah,20.93,60.8,55,0,26.46
amderma,-22.96,69.01,83,90,6.91
quixada,50.03,15.8,79,99,4.61
georgetown,22.89,61.0,48,83,10.0
clyde river,71.0,17.6,73,0,35.68
jesus del monte,-0.74,75.0,93,58,1.01
chuy,71.29,-0.4,78,1,26.46
zharkent,-0.48,73.02,92,61,2.53
saleaula,6.5,80.6,89,40,4.61
cidreira,-0.74,75.0,93,58,1.01
sao filipe,42.1,27.0,100,90,9.19
mayo,60.82,26.6,74,100,5.75
souillac,5.41,86.0,58,20,6.91
umm durman,-22.97,75.6,86,39,23.51
hilo,42.1,27.0,100,90,9.19
talara,5.41,86.0,58,20,6.91
vaini,18.45,75.2,78,20,3.44
bambous virieux,-21.21,80.6,78,75,10.36
torbay,-14.92,61.38,80,100,0.94
cape town,51.38,39.0,82,96,11.86
